Module	Section	Sample Name	Source
FastQC	all_sections	s2-3_S18_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s2-3_S18_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s2-8_S30_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s2-8_S30_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s1-3_S15_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s1-3_S15_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s3-2_S20_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s3-2_S20_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s3-6_S32_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s3-6_S32_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s3B_S9_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s3B_S9_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s4-4_S25_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s4-4_S25_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s4-6_S35_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s4-6_S35_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s1A_S2_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s1A_S2_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s3-4_S22_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s3-4_S22_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s3-8_S34_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s3-8_S34_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s4C_S13_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s4C_S13_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s2C_S6_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s2C_S6_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s2-2_S17_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s2-2_S17_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s2-4_S19_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s2-4_S19_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s1-7_S26_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s1-7_S26_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s1B_S3_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s1B_S3_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s4-7_S36_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s4-7_S36_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s3-7_S33_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s3-7_S33_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s4-2_S23_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s4-2_S23_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s3-3_S21_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s3-3_S21_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s1-9_S28_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s1-9_S28_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s1-2_S14_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s1-2_S14_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s4A_S11_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s4A_S11_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s2-9_S31_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s2-9_S31_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s4-3_S24_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s4-3_S24_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s2D_S7_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s2D_S7_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s2B_S5_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s2B_S5_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s4-8_S37_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s4-8_S37_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s1-8_S27_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s1-8_S27_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s2-7_S29_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s2-7_S29_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s4B_S12_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s4B_S12_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s1-4_S16_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s1-4_S16_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s3C_S10_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s3C_S10_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s3A_S8_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s3A_S8_concat_fastqc/fastqc_data.txt
FastQC	all_sections	s1C_S4_concat	/stor/work/FRI-BigDataBio/ms_alcohol/Melamed_tagseq/fastqc_untrim/JA21249/s1C_S4_concat_fastqc/fastqc_data.txt
